label,signature,size,depth,lugs,staveOption,hoopType,hardwareColor,scorchDepth,movement,spread,firstHit,firstHitScore,underTheHands,underTheHandsScore,fromTheBench,fromTheBenchScore,digest,attack,brightness,projection,sustain,warmth,sensitivity,control,attackDelta,brightnessDelta,projectionDelta,sustainDelta,warmthDelta,sensitivityDelta,controlDelta,playingSituation,feelReadText,highlightedCharacteristics
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Chrome • Medium Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Chrome|Medium Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Chrome,Medium Torch,2.11,0.94,"Compact, quick, lean response",2.661,"Fast, disciplined touch response",1.366,Shorter note with firm response,1.5275,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.41,5.49,4.83,4.87,4.55,5.32,5.14,0.41,0.49,-0.17,-0.13,-0.45,0.32,0.14,"A more focused Heritage read with firmer note shape, cleaner front edge, and tighter overall behavior.","A seasoned, classic Heritage presentation with a balanced TorchTuned posture, while keeping the shell-first balance intact.",Close to the benchmark Heritage warmth posture; the Medium Torch benchmark keeps the line centered between openness and control; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Chrome • Blackened,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Chrome|Blackened,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Chrome,Blackened,2.46,0.98,"Compact, quick, lean response",2.638,"Fast, disciplined touch response",1.558,Shorter note with firm response,2.463,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.59,5.31,4.72,4.61,4.63,5.08,5.44,0.59,0.31,-0.28,-0.39,-0.37,0.08,0.44,"A more TorchTuned-forward Heritage read, where the heavier scorch treatment adds a firmer center, slightly tighter bloom, and a more settled shell response.","A darker, classic Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the Blackened finish adds a more contained center and slightly firmer shell behavior; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Black Nickel • Light Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Black Nickel|Light Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Black Nickel,Light Torch,2.34,1.2,"Compact, quick, lean response",2.817,"Fast, disciplined touch response",1.413,Shorter note with firm response,1.053,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.23,5.67,4.94,5.13,4.47,5.56,4.84,0.23,0.67,-0.06,0.13,-0.53,0.56,-0.16,"A focused-but-open Heritage read: the die-cast hoops tighten the rim response, while the lighter TorchTune finish keeps more touch, air, and upper-shell liveliness in the voice.","A cleaner, slightly more modern Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Leaner and more controlled through the center than the benchmark Heritage build; Light Torch keeps more touch and liveliness while the die-cast hoops add rim focus; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Black Nickel • Medium Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Black Nickel|Medium Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Black Nickel,Medium Torch,2.11,0.94,"Compact, quick, lean response",2.661,"Fast, disciplined touch response",1.366,Shorter note with firm response,1.5275,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.41,5.49,4.83,4.87,4.55,5.32,5.14,0.41,0.49,-0.17,-0.13,-0.45,0.32,0.14,"A more focused Heritage read with firmer note shape, cleaner front edge, and tighter overall behavior.","A seasoned, slightly more modern Heritage presentation with a balanced TorchTuned posture, while keeping the shell-first balance intact.",Close to the benchmark Heritage warmth posture; the Medium Torch benchmark keeps the line centered between openness and control; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Black Nickel • Blackened,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Black Nickel|Blackened,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Black Nickel,Blackened,2.46,0.98,"Compact, quick, lean response",2.638,"Fast, disciplined touch response",1.558,Shorter note with firm response,2.463,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.59,5.31,4.72,4.61,4.63,5.08,5.44,0.59,0.31,-0.28,-0.39,-0.37,0.08,0.44,"A more TorchTuned-forward Heritage read, where the heavier scorch treatment adds a firmer center, slightly tighter bloom, and a more settled shell response.","A darker, slightly more modern Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the Blackened finish adds a more contained center and slightly firmer shell behavior; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Brass/Gold • Light Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Brass/Gold|Light Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Brass/Gold,Light Torch,2.34,1.2,"Compact, quick, lean response",2.817,"Fast, disciplined touch response",1.413,Shorter note with firm response,1.053,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.23,5.67,4.94,5.13,4.47,5.56,4.84,0.23,0.67,-0.06,0.13,-0.53,0.56,-0.16,"A focused-but-open Heritage read: the die-cast hoops tighten the rim response, while the lighter TorchTune finish keeps more touch, air, and upper-shell liveliness in the voice.","A cleaner, richer Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Leaner and more controlled through the center than the benchmark Heritage build; Light Torch keeps more touch and liveliness while the die-cast hoops add rim focus; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Brass/Gold • Medium Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Brass/Gold|Medium Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Brass/Gold,Medium Torch,2.11,0.94,"Compact, quick, lean response",2.661,"Fast, disciplined touch response",1.366,Shorter note with firm response,1.5275,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.41,5.49,4.83,4.87,4.55,5.32,5.14,0.41,0.49,-0.17,-0.13,-0.45,0.32,0.14,"A more focused Heritage read with firmer note shape, cleaner front edge, and tighter overall behavior.","A seasoned, richer Heritage presentation with a balanced TorchTuned posture, while keeping the shell-first balance intact.",Close to the benchmark Heritage warmth posture; the Medium Torch benchmark keeps the line centered between openness and control; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Brass/Gold • Blackened,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Brass/Gold|Blackened,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Brass/Gold,Blackened,2.46,0.98,"Compact, quick, lean response",2.638,"Fast, disciplined touch response",1.558,Shorter note with firm response,2.463,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.59,5.31,4.72,4.61,4.63,5.08,5.44,0.59,0.31,-0.28,-0.39,-0.37,0.08,0.44,"A more TorchTuned-forward Heritage read, where the heavier scorch treatment adds a firmer center, slightly tighter bloom, and a more settled shell response.","A darker, richer Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the Blackened finish adds a more contained center and slightly firmer shell behavior; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Chrome • Light Torch,12|5.0|8|16 - 10mm|Triple Flange|Chrome|Light Torch,12,5.0,8,16 - 10mm,Triple Flange,Chrome,Light Torch,3.05,1.44,"Compact, quick, lean response",3.209,"Expressive, blooming response",,Balanced Heritage center,,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:balanced-heritage-center,5.52,5.74,5.25,4.81,4.3,5.35,4.7,0.52,0.74,0.25,-0.19,-0.7,0.35,-0.3,"A more open Heritage read, where the lighter torch treatment preserves extra liveliness, touch response, and a slightly freer bloom through the shell.","A cleaner, classic Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Leaner and more controlled through the center than the benchmark Heritage build; the lighter TorchTune finish preserves more touch response and a freer shell reaction; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Chrome • Medium Torch,12|5.0|8|16 - 10mm|Triple Flange|Chrome|Medium Torch,12,5.0,8,16 - 10mm,Triple Flange,Chrome,Medium Torch,2.58,1.32,"Compact, quick, lean response",3.053,"Fast, disciplined touch response",0.911,Shorter note with firm response,1.087,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.7,5.56,5.14,4.55,4.38,5.11,5,0.7,0.56,0.14,-0.45,-0.62,0.11,0,"A compact Heritage read with more bite, quicker sustain, leaner body, and a dry, immediate front edge than the reference build.","A seasoned, classic Heritage presentation with a balanced TorchTuned posture, while keeping the front edge firm and articulate.","Leaner and more controlled through the center than the benchmark Heritage build; a quicker, drier bite with a more defined front edge; Triple Flange hoops preserve more of the line’s native openness."
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Chrome • Blackened,12|5.0|8|16 - 10mm|Triple Flange|Chrome|Blackened,12,5.0,8,16 - 10mm,Triple Flange,Chrome,Blackened,2.97,1.59,"Compact, quick, lean response",3.03,"Fast, disciplined touch response",1.233,Shorter note with firm response,1.9015,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.88,5.38,5.03,4.29,4.46,4.87,5.3,0.88,0.38,0.03,-0.71,-0.54,-0.13,0.3,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, classic Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the front edge firm and articulate.","Leaner and more controlled through the center than the benchmark Heritage build; a quicker, drier bite with a more defined front edge; a shorter, tighter note shape; the Blackened finish adds a more contained center and slightly firmer shell behavior; Triple Flange hoops preserve more of the line’s native openness."
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Black Nickel • Light Torch,12|5.0|8|16 - 10mm|Triple Flange|Black Nickel|Light Torch,12,5.0,8,16 - 10mm,Triple Flange,Black Nickel,Light Torch,3.05,1.44,"Compact, quick, lean response",3.209,"Expressive, blooming response",,Balanced Heritage center,,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:balanced-heritage-center,5.52,5.74,5.25,4.81,4.3,5.35,4.7,0.52,0.74,0.25,-0.19,-0.7,0.35,-0.3,"A more open Heritage read, where the lighter torch treatment preserves extra liveliness, touch response, and a slightly freer bloom through the shell.","A cleaner, slightly more modern Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Leaner and more controlled through the center than the benchmark Heritage build; the lighter TorchTune finish preserves more touch response and a freer shell reaction; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Black Nickel • Medium Torch,12|5.0|8|16 - 10mm|Triple Flange|Black Nickel|Medium Torch,12,5.0,8,16 - 10mm,Triple Flange,Black Nickel,Medium Torch,2.58,1.32,"Compact, quick, lean response",3.053,"Fast, disciplined touch response",0.911,Shorter note with firm response,1.087,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.7,5.56,5.14,4.55,4.38,5.11,5,0.7,0.56,0.14,-0.45,-0.62,0.11,0,"A compact Heritage read with more bite, quicker sustain, leaner body, and a dry, immediate front edge than the reference build.","A seasoned, slightly more modern Heritage presentation with a balanced TorchTuned posture, while keeping the front edge firm and articulate.","Leaner and more controlled through the center than the benchmark Heritage build; a quicker, drier bite with a more defined front edge; Triple Flange hoops preserve more of the line’s native openness."
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Black Nickel • Blackened,12|5.0|8|16 - 10mm|Triple Flange|Black Nickel|Blackened,12,5.0,8,16 - 10mm,Triple Flange,Black Nickel,Blackened,2.97,1.59,"Compact, quick, lean response",3.03,"Fast, disciplined touch response",1.233,Shorter note with firm response,1.9015,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.88,5.38,5.03,4.29,4.46,4.87,5.3,0.88,0.38,0.03,-0.71,-0.54,-0.13,0.3,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, slightly more modern Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the front edge firm and articulate.","Leaner and more controlled through the center than the benchmark Heritage build; a quicker, drier bite with a more defined front edge; a shorter, tighter note shape; the Blackened finish adds a more contained center and slightly firmer shell behavior; Triple Flange hoops preserve more of the line’s native openness."
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Brass/Gold • Light Torch,12|5.0|8|16 - 10mm|Triple Flange|Brass/Gold|Light Torch,12,5.0,8,16 - 10mm,Triple Flange,Brass/Gold,Light Torch,3.05,1.44,"Compact, quick, lean response",3.209,"Expressive, blooming response",,Balanced Heritage center,,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:balanced-heritage-center,5.52,5.74,5.25,4.81,4.3,5.35,4.7,0.52,0.74,0.25,-0.19,-0.7,0.35,-0.3,"A more open Heritage read, where the lighter torch treatment preserves extra liveliness, touch response, and a slightly freer bloom through the shell.","A cleaner, richer Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Leaner and more controlled through the center than the benchmark Heritage build; the lighter TorchTune finish preserves more touch response and a freer shell reaction; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Brass/Gold • Medium Torch,12|5.0|8|16 - 10mm|Triple Flange|Brass/Gold|Medium Torch,12,5.0,8,16 - 10mm,Triple Flange,Brass/Gold,Medium Torch,2.58,1.32,"Compact, quick, lean response",3.053,"Fast, disciplined touch response",0.911,Shorter note with firm response,1.087,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.7,5.56,5.14,4.55,4.38,5.11,5,0.7,0.56,0.14,-0.45,-0.62,0.11,0,"A compact Heritage read with more bite, quicker sustain, leaner body, and a dry, immediate front edge than the reference build.","A seasoned, richer Heritage presentation with a balanced TorchTuned posture, while keeping the front edge firm and articulate.","Leaner and more controlled through the center than the benchmark Heritage build; a quicker, drier bite with a more defined front edge; Triple Flange hoops preserve more of the line’s native openness."
12x5.0 • 8 lugs • 16 - 10mm • Triple Flange • Brass/Gold • Blackened,12|5.0|8|16 - 10mm|Triple Flange|Brass/Gold|Blackened,12,5.0,8,16 - 10mm,Triple Flange,Brass/Gold,Blackened,2.97,1.59,"Compact, quick, lean response",3.03,"Fast, disciplined touch response",1.233,Shorter note with firm response,1.9015,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.88,5.38,5.03,4.29,4.46,4.87,5.3,0.88,0.38,0.03,-0.71,-0.54,-0.13,0.3,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, richer Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the front edge firm and articulate.","Leaner and more controlled through the center than the benchmark Heritage build; a quicker, drier bite with a more defined front edge; a shorter, tighter note shape; the Blackened finish adds a more contained center and slightly firmer shell behavior; Triple Flange hoops preserve more of the line’s native openness."
