company,line,model,size,family,construction,material1,material2,thickness,bearingEdge,hoop,lugs,confidence,missing,id
Brady Drum Company,Block Shell / Stave-Style,Jarrah Block Snare 14x8,14x8,unknown,Block,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_jarrah-block-snare-14x8_14x8_block_jarrah_unknown-likely-brady-style-45-famil_d1232fc2
Brady Drum Company,Block Shell / Stave-Style,Marri Block Snare 12x5,12x5,unknown,Block,Marri,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_marri-block-snare-12x5_12x5_block_marri_unknown-likely-brady-style-45-family-_27fdfe33
Brady Drum Company,Block Shell / Stave-Style,Marri Block Snare 12x7,12x7,unknown,Block,Marri,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_marri-block-snare-12x7_12x7_block_marri_unknown-likely-brady-style-45-family-_c48583d7
Brady Drum Company,Block Shell / Stave-Style,Marri Block Snare 13x5.5,13x5.5,unknown,Block,Marri,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_marri-block-snare-13x5-5_13x5-5_block_marri_unknown-likely-brady-style-45-fam_4873cf09
Brady Drum Company,Block Shell / Stave-Style,Marri Block Snare 13x7,13x7,unknown,Block,Marri,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_marri-block-snare-13x7_13x7_block_marri_unknown-likely-brady-style-45-family-_057e68d9
Brady Drum Company,Block Shell / Stave-Style,Marri Block Snare 14x5.5,14x5.5,unknown,Block,Marri,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_marri-block-snare-14x5-5_14x5-5_block_marri_unknown-likely-brady-style-45-fam_4375965f
Brady Drum Company,Block Shell / Stave-Style,Marri Block Snare 14x6.5,14x6.5,unknown,Block,Marri,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_marri-block-snare-14x6-5_14x6-5_block_marri_unknown-likely-brady-style-45-fam_78757ea7
Brady Drum Company,Block Shell / Stave-Style,Marri Block Snare 14x7,14x7,unknown,Block,Marri,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_marri-block-snare-14x7_14x7_block_marri_unknown-likely-brady-style-45-family-_43617380
Brady Drum Company,Block Shell / Stave-Style,Marri Block Snare 14x8,14x8,unknown,Block,Marri,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_marri-block-snare-14x8_14x8_block_marri_unknown-likely-brady-style-45-family-_47da69ef
Brady Drum Company,Block Shell / Stave-Style,Sheoak Block Snare 12x5,12x5,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_sheoak-block-snare-12x5_12x5_block_oak_unknown-likely-brady-style-45-family-e_66bfebff
Brady Drum Company,Block Shell / Stave-Style,Sheoak Block Snare 12x7,12x7,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_sheoak-block-snare-12x7_12x7_block_oak_unknown-likely-brady-style-45-family-e_fad5897f
Brady Drum Company,Block Shell / Stave-Style,Sheoak Block Snare 13x5.5,13x5.5,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_sheoak-block-snare-13x5-5_13x5-5_block_oak_unknown-likely-brady-style-45-fami_173170ee
Brady Drum Company,Block Shell / Stave-Style,Sheoak Block Snare 13x7,13x7,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_sheoak-block-snare-13x7_13x7_block_oak_unknown-likely-brady-style-45-family-e_2934404e
Brady Drum Company,Block Shell / Stave-Style,Sheoak Block Snare 14x5.5,14x5.5,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_sheoak-block-snare-14x5-5_14x5-5_block_oak_unknown-likely-brady-style-45-fami_fa307476
Brady Drum Company,Block Shell / Stave-Style,Sheoak Block Snare 14x6.5,14x6.5,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_sheoak-block-snare-14x6-5_14x6-5_block_oak_unknown-likely-brady-style-45-fami_8cd45326
Brady Drum Company,Block Shell / Stave-Style,Sheoak Block Snare 14x7,14x7,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_sheoak-block-snare-14x7_14x7_block_oak_unknown-likely-brady-style-45-family-e_ad801c01
Brady Drum Company,Block Shell / Stave-Style,Sheoak Block Snare 14x8,14x8,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_sheoak-block-snare-14x8_14x8_block_oak_unknown-likely-brady-style-45-family-e_82e38cf7
Brady Drum Company,Block Shell / Stave-Style,Wandoo Block Snare 12x5,12x5,unknown,Block,Wandoo,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_wandoo-block-snare-12x5_12x5_block_wandoo_unknown-likely-brady-style-45-famil_65fa3a16
Brady Drum Company,Block Shell / Stave-Style,Wandoo Block Snare 12x7,12x7,unknown,Block,Wandoo,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_wandoo-block-snare-12x7_12x7_block_wandoo_unknown-likely-brady-style-45-famil_76ba5313
Brady Drum Company,Block Shell / Stave-Style,Wandoo Block Snare 13x5.5,13x5.5,unknown,Block,Wandoo,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_wandoo-block-snare-13x5-5_13x5-5_block_wandoo_unknown-likely-brady-style-45-f_b39424bb
Brady Drum Company,Block Shell / Stave-Style,Wandoo Block Snare 13x7,13x7,unknown,Block,Wandoo,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_wandoo-block-snare-13x7_13x7_block_wandoo_unknown-likely-brady-style-45-famil_9f920af1
Brady Drum Company,Block Shell / Stave-Style,Wandoo Block Snare 14x5.5,14x5.5,unknown,Block,Wandoo,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_wandoo-block-snare-14x5-5_14x5-5_block_wandoo_unknown-likely-brady-style-45-f_159bd148
Brady Drum Company,Block Shell / Stave-Style,Wandoo Block Snare 14x6.5,14x6.5,unknown,Block,Wandoo,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_wandoo-block-snare-14x6-5_14x6-5_block_wandoo_unknown-likely-brady-style-45-f_ee114bb0
Brady Drum Company,Block Shell / Stave-Style,Wandoo Block Snare 14x7,14x7,unknown,Block,Wandoo,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_wandoo-block-snare-14x7_14x7_block_wandoo_unknown-likely-brady-style-45-famil_2de6450c
Brady Drum Company,Block Shell / Stave-Style,Wandoo Block Snare 14x8,14x8,unknown,Block,Wandoo,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_wandoo-block-snare-14x8_14x8_block_wandoo_unknown-likely-brady-style-45-famil_bbd1df09
Brady Drum Company,Handmade Exotic Australian Hardwood,Jarrah Block shell 14x6.5,14x6.5,unknown,Block,Jarrah,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_handmade-exotic-australian-hardwood_jarrah-block-shell-14x6-5_14x6-5_block_jarrah_45-bearing-edges_1-_e1401ddf
Brady Drum Company,Handmade Exotic Australian Hardwood,Sheoak Block shell 14x6.5,14x6.5,unknown,Block,Oak,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_handmade-exotic-australian-hardwood_sheoak-block-shell-14x6-5_14x6-5_block_oak_45-bearing-edges_1-5mm_f07e0eb3
Brady Drum Company,Historical / Early Experimental,1984 Sheoak Block Snare 14x7 with DW Hardware,14x7,unknown,Block,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_historical-early-experimental_1984-sheoak-block-snare-14x7-with-dw-hardware_14x7_block_oak_unknown-li_da921be8
Brady Drum Company,Walkabout / Multi-Wood,Wandoo / Sheoak / Marri Block Stave Snare 14x6.5,14x6.5,unknown,Block,Wandoo,Oak,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_walkabout-multi-wood_wandoo-sheoak-marri-block-stave-snare-14x6-5_14x6-5_block_wandoo_oak_marri_unkno_235fa8a3
Brady Drum Company,Block Shell / Stave-Style,Lemon Scented Gum Block Snare 12x5,12x5,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_lemon-scented-gum-block-snare-12x5_12x5_block_gum_unknown-likely-brady-style-_1a0e46be
Brady Drum Company,Block Shell / Stave-Style,Lemon Scented Gum Block Snare 12x7,12x7,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_lemon-scented-gum-block-snare-12x7_12x7_block_gum_unknown-likely-brady-style-_39ddbd88
Brady Drum Company,Block Shell / Stave-Style,Lemon Scented Gum Block Snare 13x5.5,13x5.5,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_lemon-scented-gum-block-snare-13x5-5_13x5-5_block_gum_unknown-likely-brady-st_9cfb5eaa
Brady Drum Company,Block Shell / Stave-Style,Lemon Scented Gum Block Snare 13x7,13x7,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_lemon-scented-gum-block-snare-13x7_13x7_block_gum_unknown-likely-brady-style-_0b4d5bc8
Brady Drum Company,Block Shell / Stave-Style,Lemon Scented Gum Block Snare 14x5.5,14x5.5,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_lemon-scented-gum-block-snare-14x5-5_14x5-5_block_gum_unknown-likely-brady-st_42af2ffd
Brady Drum Company,Block Shell / Stave-Style,Lemon Scented Gum Block Snare 14x6.5,14x6.5,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_lemon-scented-gum-block-snare-14x6-5_14x6-5_block_gum_unknown-likely-brady-st_8bba8f08
Brady Drum Company,Block Shell / Stave-Style,Lemon Scented Gum Block Snare 14x7,14x7,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_lemon-scented-gum-block-snare-14x7_14x7_block_gum_unknown-likely-brady-style-_5f0f4c97
Brady Drum Company,Block Shell / Stave-Style,Lemon Scented Gum Block Snare 14x8,14x8,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_lemon-scented-gum-block-snare-14x8_14x8_block_gum_unknown-likely-brady-style-_8689bcf5
Brady Drum Company,Block Shell / Stave-Style,Spotted Gum Block Snare 12x5,12x5,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_spotted-gum-block-snare-12x5_12x5_block_gum_unknown-likely-brady-style-45-fam_b8c26664
Brady Drum Company,Block Shell / Stave-Style,Spotted Gum Block Snare 12x7,12x7,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_spotted-gum-block-snare-12x7_12x7_block_gum_unknown-likely-brady-style-45-fam_083bd2ab
Brady Drum Company,Block Shell / Stave-Style,Spotted Gum Block Snare 13x5.5,13x5.5,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_spotted-gum-block-snare-13x5-5_13x5-5_block_gum_unknown-likely-brady-style-45_2194deb4
Brady Drum Company,Block Shell / Stave-Style,Spotted Gum Block Snare 13x7,13x7,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_spotted-gum-block-snare-13x7_13x7_block_gum_unknown-likely-brady-style-45-fam_e4b2fd4c
Brady Drum Company,Block Shell / Stave-Style,Spotted Gum Block Snare 14x5.5,14x5.5,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_spotted-gum-block-snare-14x5-5_14x5-5_block_gum_unknown-likely-brady-style-45_03a00cd3
Brady Drum Company,Block Shell / Stave-Style,Spotted Gum Block Snare 14x6.5,14x6.5,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_spotted-gum-block-snare-14x6-5_14x6-5_block_gum_unknown-likely-brady-style-45_f441162c
Brady Drum Company,Block Shell / Stave-Style,Spotted Gum Block Snare 14x7,14x7,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_spotted-gum-block-snare-14x7_14x7_block_gum_unknown-likely-brady-style-45-fam_b0011b94
Brady Drum Company,Block Shell / Stave-Style,Spotted Gum Block Snare 14x8,14x8,wood,Block,Gum,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_spotted-gum-block-snare-14x8_14x8_block_gum_unknown-likely-brady-style-45-fam_4dde0f09
Brady Drum Company,Early Solid / Hollow Log,Jarrah Hollow Log / Solid-Shell Snare 14x5.5,14x5.5,wood,Solid Shell,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_early-solid-hollow-log_jarrah-hollow-log-solid-shell-snare-14x5-5_14x5-5_solid-shell_jarrah_unknown-l_dec3eeb4
Brady Drum Company,Early Solid / Hollow Log,Jarrah Hollow Log / Solid-Shell Snare 14x6.5,14x6.5,wood,Solid Shell,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_early-solid-hollow-log_jarrah-hollow-log-solid-shell-snare-14x6-5_14x6-5_solid-shell_jarrah_unknown-l_a9157580
Brady Drum Company,Early Solid / Hollow Log,Jarrah Hollow Log / Solid-Shell Snare 14x8,14x8,wood,Solid Shell,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_early-solid-hollow-log_jarrah-hollow-log-solid-shell-snare-14x8_14x8_solid-shell_jarrah_unknown-likel_9e8e654a
Brady Drum Company,Early Solid / Hollow Log,Sheoak Hollow Log / Solid-Shell Snare 14x5.5,14x5.5,wood,Solid Shell,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_early-solid-hollow-log_sheoak-hollow-log-solid-shell-snare-14x5-5_14x5-5_solid-shell_oak_unknown-like_46ec8f8f
Brady Drum Company,Early Solid / Hollow Log,Sheoak Hollow Log / Solid-Shell Snare 14x6.5,14x6.5,wood,Solid Shell,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_early-solid-hollow-log_sheoak-hollow-log-solid-shell-snare-14x6-5_14x6-5_solid-shell_oak_unknown-like_c43a6b80
Brady Drum Company,Early Solid / Hollow Log,Sheoak Hollow Log / Solid-Shell Snare 14x8,14x8,wood,Solid Shell,Oak,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_early-solid-hollow-log_sheoak-hollow-log-solid-shell-snare-14x8_14x8_solid-shell_oak_unknown-likely-b_7775c5ed
Brady Drum Company,Handmade Exotic Australian Hardwood,Jarrah Ply shell 14x6.5,14x6.5,wood,Ply,Jarrah,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_handmade-exotic-australian-hardwood_jarrah-ply-shell-14x6-5_14x6-5_ply_jarrah_45-bearing-edges_1-5mm-_39cf6d3a
Brady Drum Company,Handmade Exotic Australian Hardwood,Marri Ply shell 14x6.5,14x6.5,wood,Ply,Marri,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_handmade-exotic-australian-hardwood_marri-ply-shell-14x6-5_14x6-5_ply_marri_45-bearing-edges_1-5mm-pr_60c0ce85
Brady Drum Company,Handmade Exotic Australian Hardwood,Tasmanian Blackwood Block shell 14x6.5,14x6.5,wood,Block,Tasmanian Blackwood,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_handmade-exotic-australian-hardwood_tasmanian-blackwood-block-shell-14x6-5_14x6-5_block_tasmanian-bla_c6c5bfc8
Brady Drum Company,Ply Shell,Australian Rose Gum Ply Snare 10x5,10x5,wood,Ply,Rose Gum,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_australian-rose-gum-ply-snare-10x5_10x5_ply_rose-gum_45-bearing-edges_1-5mm-proper-snare-be_fcdeb7d0
Brady Drum Company,Ply Shell,Australian Rose Gum Ply Snare 12x5,12x5,wood,Ply,Rose Gum,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_australian-rose-gum-ply-snare-12x5_12x5_ply_rose-gum_45-bearing-edges_1-5mm-proper-snare-be_7576b11d
Brady Drum Company,Ply Shell,Australian Rose Gum Ply Snare 13x5.5,13x5.5,wood,Ply,Rose Gum,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_australian-rose-gum-ply-snare-13x5-5_13x5-5_ply_rose-gum_45-bearing-edges_1-5mm-proper-snar_ea5be61e
Brady Drum Company,Ply Shell,Australian Rose Gum Ply Snare 14x5.5,14x5.5,wood,Ply,Rose Gum,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_australian-rose-gum-ply-snare-14x5-5_14x5-5_ply_rose-gum_45-bearing-edges_1-5mm-proper-snar_1c671eca
Brady Drum Company,Ply Shell,Australian Rose Gum Ply Snare 14x6.5,14x6.5,wood,Ply,Rose Gum,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_australian-rose-gum-ply-snare-14x6-5_14x6-5_ply_rose-gum_45-bearing-edges_1-5mm-proper-snar_7da1e76d
Brady Drum Company,Ply Shell,Australian Rose Gum Ply Snare 14x8,14x8,wood,Ply,Rose Gum,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_australian-rose-gum-ply-snare-14x8_14x8_ply_rose-gum_45-bearing-edges_1-5mm-proper-snare-be_ab87aef6
Brady Drum Company,Ply Shell,Australian Rose Gum Ply Snare 16x6.5,16x6.5,wood,Ply,Rose Gum,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_australian-rose-gum-ply-snare-16x6-5_16x6-5_ply_rose-gum_45-bearing-edges_1-5mm-proper-snar_f7be8ad8
Brady Drum Company,Ply Shell,Blackheart Sassafras Ply Snare 10x5,10x5,wood,Ply,Sassafras,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_blackheart-sassafras-ply-snare-10x5_10x5_ply_sassafras_45-bearing-edges_1-5mm-proper-snare-_840ae20e
Brady Drum Company,Ply Shell,Blackheart Sassafras Ply Snare 12x5,12x5,wood,Ply,Sassafras,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_blackheart-sassafras-ply-snare-12x5_12x5_ply_sassafras_45-bearing-edges_1-5mm-proper-snare-_c2bf44a6
Brady Drum Company,Ply Shell,Blackheart Sassafras Ply Snare 13x5.5,13x5.5,wood,Ply,Sassafras,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_blackheart-sassafras-ply-snare-13x5-5_13x5-5_ply_sassafras_45-bearing-edges_1-5mm-proper-sn_ae750c9c
Brady Drum Company,Ply Shell,Blackheart Sassafras Ply Snare 14x5.5,14x5.5,wood,Ply,Sassafras,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_blackheart-sassafras-ply-snare-14x5-5_14x5-5_ply_sassafras_45-bearing-edges_1-5mm-proper-sn_4dada79d
Brady Drum Company,Ply Shell,Blackheart Sassafras Ply Snare 14x6.5,14x6.5,wood,Ply,Sassafras,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_blackheart-sassafras-ply-snare-14x6-5_14x6-5_ply_sassafras_45-bearing-edges_1-5mm-proper-sn_71638253
Brady Drum Company,Ply Shell,Blackheart Sassafras Ply Snare 14x8,14x8,wood,Ply,Sassafras,,MISSING,45° bearing edges,2.3mm Super Hoop / rigid triple-flange style,10,medium,shellThickness,brady-drum-company_ply-shell_blackheart-sassafras-ply-snare-14x8_14x8_ply_sassafras_45-bearing-edges_1-5mm-proper-snare-_77a2a0e7
